keyword,city,source_file,ranking,title,link,snippet,business_name,rating,review_count,official_website,top_3_reviews,profile_updates,attributes,product_listings,name,reviews,domain,domain_authority,page_authority,spam_score,backlinks_count,referring_domains,pages_to_domain,top_backlinks,trust_flow
blockchain for lawyers,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,1,"TOP 10 BEST Crypto Lawyer near Sherman Oaks, Los Angeles, CA ...",https://m.yelp.com/search?find_desc=Crypto+Lawyer&find_loc=Sherman+Oaks%2C+Los+Angeles%2C+CA,"All ""Crypto Lawyer"" results near me in Sherman Oaks, Los Angeles, California - March 2025. Showing 1-10 of 10 · Leading Tax Group.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,m.yelp.com,0,0,0,0,0,0,,
blockchain for lawyers,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,2,Blockchain and Fintech Attorneys - Sheppard Mullin,https://www.sheppardmullin.com/blockchain-and-fintech,Missing: Sherman Oaks,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,sheppardmullin.com,51,48,32,168010,4814,1810834,,
blockchain for lawyers,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,3,Bitcoin Tax Attorney in Sherman Oaks - Leading Tax Group,https://www.leadingtaxgroup.com/most-experienced-bitcoin-tax-experts/sherman-oaks/,"Leading Tax Group has offices located in Sherman Oaks, our tax attorney has plenty of Bitcoin experience and can help if you are going through a audit or need ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,leadingtaxgroup.com,25,35,49,13914,832,13914,,
construction litigation attorney near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,3,Los Angeles CA Construction Lawyer | California Real Estate ...,https://www.jdhorowitzlaw.com/,"The Horowitz Law Firm, APC can help you with your eminent domain issue. Call today to speak with an experienced attorney in Los Angeles at 818-528-5183.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,jdhorowitzlaw.com,17,28,2,1948,118,9531,,
crypto fraud attorney,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,1,Sherman Oaks Cryptocurrency Tax Expert – Audit Attorney,https://www.leadingtaxgroup.com/the-best-cryptocurrency-tax-experts/sherman-oaks/,"In other words, it's easy to get penalized by the IRS or even be accused of fraud. An Sherman Oaks cryptocurrency tax expert from our company will keep a ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,leadingtaxgroup.com,25,35,49,13914,832,13914,,
crypto fraud attorney,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,3,"Crypto, NFT & Metaverse Lawyer - Vondran Legal",https://www.vondranlegal.com/crypto-lawyer,Crypto fraud; Wallet hacks/wallet theft (passphrase theft); Arbitration of crypto disputes; Illegal Ponzi scheme civil suits; Digital asset litigation; Metamask ...,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,vondranlegal.com,36,40,1,22526,1780,149128,,
construction law attorney near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,2,"Los Angeles Construction Law Lawyers | Sherman Oaks, CA ...",https://www.jdhorowitzlaw.com/Practice-Areas/Construction-Law/,For experienced legal help with a construction contract or dispute contact an experienced Los Angeles attorney at The Horowitz Law Firm: 818-528-5183.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,jdhorowitzlaw.com,17,28,2,1948,118,9531,,
commercial construction attorney near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,2,"Los Angeles Construction Law Lawyers | Sherman Oaks, CA ...",https://www.jdhorowitzlaw.com/Practice-Areas/Construction-Law/,For experienced legal help with a construction contract or dispute contact an experienced Los Angeles attorney at The Horowitz Law Firm: 818-528-5183.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,jdhorowitzlaw.com,17,28,2,1948,118,9531,,
blockchain law firm,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,1,Stubbs Alderton & Markiles Attorneys Assist Clients With Every ...,https://stubbsalderton.com/,"Stubbs Alderton & Markiles Attorneys specialize in corporate, VC, M&A, Business Litigation, Intellectual Property, Entertainment, Public Securities.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,stubbsalderton.com,37,39,8,9657,586,143752,,
blockchain law firm,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,2,Sherman Oaks Cryptocurrency Tax Expert – Audit Attorney,https://www.leadingtaxgroup.com/the-best-cryptocurrency-tax-experts/sherman-oaks/,Our cryptocurrency tax expert in Sherman Oaks has been helping investors avoid penalties and protect their assets from the IRS for years. Crypto tax laws and ...,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,leadingtaxgroup.com,25,35,49,13914,832,13914,,
blockchain law firm,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,3,Cryptocurrency Accounting Services - Richard Grossman Law Offices,https://www.law-grossman.com/cryptocurrency.php,"Thousand Oaks, CA Law Firm | Cryptocurrency Accounting Services Page | Law Office of Richard. Call Us Today (805) 309-2830. Cryptocurrency Accounting Services.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,law-grossman.com,2,16,-1,9,9,9,,
contractor fraud attorney near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,1,Breach of Contract Attorney Los Angeles | Counts Law Firm PC,https://www.countslawfirm.com/los-angeles-business-law-attorney/breach-of-contract-fraud/,"Counts Law Firm has substantial experience resolving thousands of breach of contract, fraud, and unfair business practice cases in Los Angeles County courts.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,countslawfirm.com,20,28,1,464,125,2291,,
contractor fraud attorney near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,2,Business Litigation - Grant Shenon,https://www.grantshenon.com/business-litigation,"IS THERE A BUSINESS FRAUD ATTORNEY NEAR ME? · Breach of contract claims · Collections · Derivative shareholder actions · Contractual and business torts, and more!",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,grantshenon.com,16,29,2,5377,192,16395,,
contractor fraud attorney near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,3,Sherman Oaks Breach of Contract & Fraud Lawyers,https://koronpodolsky.com/services/employment-litigation/breach-of-contract-fraud/,Our Sherman Oaks attorneys are dedicated to protecting workers' rights and helping them stand up to the employers who violate them.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,koronpodolsky.com,12,23,1,163,41,2372,,
contractor lawyer near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,1,"Los Angeles Construction Law Lawyers | Sherman Oaks, CA ...",https://www.jdhorowitzlaw.com/Practice-Areas/Construction-Law/,For experienced legal help with a construction contract or dispute contact an experienced Los Angeles attorney at The Horowitz Law Firm: 818-528-5183.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,jdhorowitzlaw.com,17,28,2,1948,118,9531,,
construction attorney near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,2,"Los Angeles Construction Law Lawyers | Sherman Oaks, CA ...",https://www.jdhorowitzlaw.com/Practice-Areas/Construction-Law/,For experienced legal help with a construction contract or dispute contact an experienced Los Angeles attorney at The Horowitz Law Firm: 818-528-5183.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,jdhorowitzlaw.com,17,28,2,1948,118,9531,,
home sherman oaksvation dispute attorney near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,3,"Artemis Law Group in Sherman Oaks, CA",https://artemislawapc.com/sherman-oaks-law-firm/,"Artemis Law Group is a trusted legal partner serving clients in Sherman Oaks and the surrounding areas. Specializing in construction, real estate, and business ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,artemislawapc.com,8,21,3,400,23,930,,
construction accident lawyers near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,1,Los Angeles Construction Accident Lawyers | Priority Law Group,http://www.prioritylawgroup.com/personal-injury/construction-accidents/,Call (877) 975-2529 for an experienced attorney to protect your rights and maximize compensation for your injuries. We represent victims in Sherman Oaks & the surrounding LA area.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,prioritylawgroup.com,12,24,1,128,55,1454,,
construction accident lawyers near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,2,Sherman Oaks Construction Accident Lawyer - Free Consultation,https://www.barrylawgroup.com/sherman-oaks-construction-accident-lawyer/,Sherman Oaks Construction Accident Lawyer at Barry Law Group helps injured workers recover damages. Protect your rights. Contact us today!,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,barrylawgroup.com,20,27,1,451,190,1364,,
construction accident lawyers near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,3,Sherman Oaks Construction Accident Lawyer | JUSTICENTER ...,https://justicenter.com/sherman-oaks-construction-accident-lawyer/,The experienced Sherman Oaks construction accident lawyers at JUSTICENTER Personal Injury Lawyers can help you maximize your recovery. Contact our law office in ...,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,justicenter.com,22,25,-1,1922,67,1922,,
contractor dispute attorney near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,1,"Los Angeles Construction Law Lawyers | Sherman Oaks, CA ...",https://www.jdhorowitzlaw.com/Practice-Areas/Construction-Law/,For experienced legal help with a construction contract or dispute contact an experienced Los Angeles attorney at The Horowitz Law Firm: 818-528-5183.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,jdhorowitzlaw.com,17,28,2,1948,118,9531,,
construction contract dispute lawyer near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,1,"Los Angeles Construction Law Lawyers | Sherman Oaks, CA ...",https://www.jdhorowitzlaw.com/Practice-Areas/Construction-Law/,For experienced legal help with a construction contract or dispute contact an experienced Los Angeles attorney at The Horowitz Law Firm: 818-528-5183.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,jdhorowitzlaw.com,17,28,2,1948,118,9531,,
blockchain attorney,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,1,"TOP 10 BEST Crypto Lawyer near Sherman Oaks, Los Angeles, CA ...",https://m.yelp.com/search?find_desc=Crypto+Lawyer&find_loc=Sherman+Oaks%2C+Los+Angeles%2C+CA,"Top 10 Best Crypto Lawyer in Los Angeles, CA - March 2025 - Yelp - Leading Tax Group, The Tax Law Offices of David W Klasing, PC, Semper Tax Relief, ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,m.yelp.com,0,0,0,0,0,0,,
blockchain attorney,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,2,Bitcoin Tax Attorney in Sherman Oaks - Leading Tax Group,https://www.leadingtaxgroup.com/most-experienced-bitcoin-tax-experts/sherman-oaks/,"Leading Tax Group has offices located in Sherman Oaks, our tax attorney has plenty of Bitcoin experience and can help if you are going through a audit or need ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,leadingtaxgroup.com,25,35,49,13914,832,13914,,
blockchain attorney,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,3,Stubbs Alderton & Markiles Attorneys Assist Clients With Every ...,https://stubbsalderton.com/,"Stubbs Alderton & Markiles Attorneys specialize in corporate, VC, M&A, Business Litigation, Intellectual Property, Entertainment, Public Securities.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,stubbsalderton.com,37,39,8,9657,586,143752,,
construction accident attorney near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,1,Los Angeles Construction Accident Lawyers | Priority Law Group,http://www.prioritylawgroup.com/personal-injury/construction-accidents/,Call (877) 975-2529 for an experienced attorney to protect your rights and maximize compensation for your injuries. We represent victims in Sherman Oaks & the surrounding LA area.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,prioritylawgroup.com,12,24,1,128,55,1454,,
construction accident attorney near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,2,Sherman Oaks Construction Accident Lawyer - Free Consultation,https://www.barrylawgroup.com/sherman-oaks-construction-accident-lawyer/,Sherman Oaks Construction Accident Lawyer at Barry Law Group helps injured workers recover damages. Protect your rights. Contact us today!,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,barrylawgroup.com,20,27,1,451,190,1364,,
construction accident attorney near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,3,Sherman Oaks Construction Accident Lawyer,https://justicenter.com/sherman-oaks-construction-accident-lawyer/,The experienced Sherman Oaks construction accident lawyers at JUSTICENTER Personal Injury Lawyers can help you maximize your recovery. Contact our law office in ...,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,justicenter.com,22,25,-1,1922,67,1922,,
construction lawyers near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,1,"Los Angeles Construction Law Lawyers | Sherman Oaks, CA ...",https://www.jdhorowitzlaw.com/Practice-Areas/Construction-Law/,For experienced legal help with a construction contract or dispute contact an experienced Los Angeles attorney at The Horowitz Law Firm: 818-528-5183.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,jdhorowitzlaw.com,17,28,2,1948,118,9531,,
residential construction attorney near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,1,"Los Angeles Construction Law Lawyers | Sherman Oaks, CA ...",https://www.jdhorowitzlaw.com/Practice-Areas/Construction-Law/,For experienced legal help with a construction contract or dispute contact an experienced Los Angeles attorney at The Horowitz Law Firm: 818-528-5183.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,jdhorowitzlaw.com,17,28,2,1948,118,9531,,
